text_id,paper_title,paper_discipline,student_level,student_gender,speaker_status,speaker_l1,paper_type,token_count,paper_features
CEE.G0.05.1,Relative density testing for foundation soil of punch presses,Civil and Environmental Engineering,Final Year Undergraduate,Female,NS,,ResearchPaper,804,"Methodology section, Discussion of results section, Tables, graphs or figures"
CEE.G0.05.2,Design development for the Wight-Green Building,Civil and Environmental Engineering,Final Year Undergraduate,Female,NS,,Report,589,
CEE.G0.05.3,Schematic design of the Wight-Green Building,Civil and Environmental Engineering,Final Year Undergraduate,Female,NS,,Report,496,
CEE.G0.06.1,Characteristics of Concrete Aggregates,Civil and Environmental Engineering,Final Year Undergraduate,Female,NS,,ResearchPaper,824,"Methodology section, Discussion of results section, Tables, graphs or figures"
CEE.G1.01.1,Oral Bioavailability Evaluation of Soil-Borne Chemicals Using In Vitro Bioavailability Tests,Civil and Environmental Engineering,First Year Graduate,Male,NS,,Report,3471,"Abstract, Tables, graphs or figures, Literature review section, Reference to sources"
CEE.G1.02.1,Necking and Localization in Plane Stress / Strain,Civil and Environmental Engineering,First Year Graduate,Male,NNS,Spanish,ResearchPaper,2194,"Methodology section, Discussion of results section, Tables, graphs or figures, Reference to sources"
CEE.G1.02.2,Self-Centering Seismic Resistant Systems,Civil and Environmental Engineering,First Year Graduate,Male,NNS,Spanish,Report,2297,"Tables, graphs or figures, Reference to sources"
CEE.G1.02.3,Seismic Retrofit for Reinforced Concrete Structures: Analysis / Design Techniques,Civil and Environmental Engineering,First Year Graduate,Male,NNS,Spanish,Report,497,"Abstract, Discussion of results section, Reference to sources"
CEE.G1.03.1,Dundee Wastewater Treatment Plant: a Brief Examination,Civil and Environmental Engineering,First Year Graduate,Female,NS,,Report,3418,"Discussion of results section, Tables, graphs or figures, Reference to sources"
CEE.G1.04.1,Use of Reinforced Concrete Shear Walls in Steel Framed Buildings,Civil and Environmental Engineering,First Year Graduate,Male,NS,,Report,3435,"Methodology section, Tables, graphs or figures, Reference to sources"
CEE.G1.05.1,Analysis and Design of Composite Steel-Concrete Columns,Civil and Environmental Engineering,First Year Graduate,Male,NS,,Report,4766,"Definitions, Abstract, Tables, graphs or figures, Reference to sources"
CEE.G1.06.1,Worker Ergonomic Analysis,Civil and Environmental Engineering,First Year Graduate,Male,NS,,Report,3068,"Tables, graphs or figures"
CEE.G1.07.1,Reinforced Concrete Design Term Project,Civil and Environmental Engineering,First Year Graduate,Male,NS,,Report,3321,"Abstract, Literature review section, Tables, graphs or figures, Problem-solution pattern, Reference to sources"
CEE.G1.07.2,The State of Finite Element Modeling of Fiber Reinforced Cement Composites,Civil and Environmental Engineering,First Year Graduate,Male,NS,,Report,1890,"Abstract, Reference to sources"
CEE.G1.08.1,Electrification of road transportation using ground level power supply,Civil and Environmental Engineering,First Year Graduate,Male,NNS,Malayalam,Critique,1753,"Abstract, Tables, graphs or figures, Problem-solution pattern, Methodology section, Definitions, Discussion of results section"
CEE.G1.09.1,Durability of Reinforced Concrete ,Civil and Environmental Engineering,First Year Graduate,Male,NS,,Report,3386,
CEE.G1.10.1,Seismic Design For Tunnels and Underground Infrastructure,Civil and Environmental Engineering,First Year Graduate,Male,NS,,Report,4435,"Abstract, Tables, graphs or figures, Reference to sources"
CEE.G1.10.2,Soil Improvement: Designing with Tensar Geogrids,Civil and Environmental Engineering,First Year Graduate,Male,NS,,Report,4587,"Abstract, Methodology section, Discussion of results section, Tables, graphs or figures, Reference to sources"
CEE.G2.01.1,Sustainability of the Internal Combustion Engine,Civil and Environmental Engineering,Second Year Graduate,Male,NS,,Report,6155,"Abstract, Tables, graphs or figures, Reference to sources"
CEE.G3.01.1,A Study on an Interaction of Copper-Binding Compounds Between Methanotrophs,Civil and Environmental Engineering,Third Year Graduate,Male,NNS,Korean,ResearchPaper,5918,"Methodology section, Discussion of results section, Reference to sources"
CEE.G3.02.1,Project: Computation of Deformation,Civil and Environmental Engineering,Third Year Graduate,Male,NNS,Mandarin,ResearchPaper,794,"Tables, graphs or figures"
CEE.G3.03.1,Contaminant Transport in Constructed Wetlands for Urban Stormwater Management,Civil and Environmental Engineering,Third Year Graduate,Female,NS,,ResearchPaper,4027,"Definitions, Abstract, Tables, graphs or figures, Reference to sources"
CEE.G3.04.1,Managing CAFOs: Regulatory and Grassroots Control,Civil and Environmental Engineering,Third Year Graduate,Male,NS,,Report,3192,Reference to sources
CEE.G3.04.2,International Law and Environmental Policy,Civil and Environmental Engineering,Third Year Graduate,Male,NS,,Report,3584,"Definitions, Literature review section, Reference to sources"
CEE.G3.04.3,Dish-Washing as a Multi-Actor Prisoner's Dilemma,Civil and Environmental Engineering,Third Year Graduate,Male,NS,,Essay,1063,"Tables, graphs or figures"
CLS.G0.01.1,Comparison of Persian and Assyrian Kings,Classical Studies,Final Year Undergraduate,Female,NS,,Report,2502,Reference to sources
CLS.G0.02.1,Augustine Anatomized ,Classical Studies,Final Year Undergraduate,Female,NS,,Essay,1144,Reference to sources
CLS.G0.03.1,Regarding the Public Image of the Emperor Augustus,Classical Studies,Final Year Undergraduate,Male,NS,,Report,874,
CLS.G0.04.1,Circe's portrayal as a witch in the Odyssey ,Classical Studies,Final Year Undergraduate,Female,NS,,ResponsePaper,440,
CLS.G0.04.2,Analysis of the Oresteia,Classical Studies,Final Year Undergraduate,Female,NS,,Essay,1588,Reference to sources
CLS.G0.05.1,The Importance of Germanicus to the Roman Empire,Classical Studies,Final Year Undergraduate,Female,NS,,Report,2205,
CLS.G0.06.1,Analysis of the Parthenon Frieze,Classical Studies,Final Year Undergraduate,Female,NS,,Essay,1652,
CLS.G1.01.1,Plato and Hellenistic Poetics:  A Study of Narratological Framing,Classical Studies,First Year Graduate,Male,NS,,Essay,5945,Reference to sources
CLS.G1.02.1,"Academic Ambitions: Cicero, the Persona of the Philosopher, and Roman Elite Status",Classical Studies,First Year Graduate,Male,NS,,Report,3570,Reference to sources
CLS.G1.03.1,The Role of Roman manus Marriage in the Institution of Classical Free Marriage,Classical Studies,First Year Graduate,Female,NS,,Report,1685,Reference to sources
CLS.G1.04.1,The Bellum Hispaniense as a Face of Battle Narrative,Classical Studies,First Year Graduate,Male,NS,,Essay,2261,Reference to sources
CLS.G2.01.1,The Nightmare of Arcady,Classical Studies,Second Year Graduate,Male,NS,,Essay,5848,Reference to sources
CLS.G2.02.1,Platonic Thought in Book I of Livy's Ab Urbe Condita,Classical Studies,Second Year Graduate,Male,NS,,Essay,3473,Reference to sources
CLS.G3.01.1,Corpse Demons in Ancient Greek Magic,Classical Studies,Third Year Graduate,Female,NS,,Essay,3477,"Tables, graphs or figures, Reference to sources"
ECO.G0.01.1,Article Review: My Anti-Stump Speech,Economics,Final Year Undergraduate,Male,NNS,Mandarin,Report,790,"Tables, graphs or figures"
ECO.G0.02.1,Analysis of the Microsoft Case,Economics,Final Year Undergraduate,Female,NS,,Report,1260,
ECO.G0.02.2,The Lysine Cartel and Collusion Theory,Economics,Final Year Undergraduate,Female,NS,,Report,2239,"Abstract, Reference to sources"
ECO.G0.03.1,Economics of the Illicit-Drug Market,Economics,Final Year Undergraduate,Male,NS,,Essay,3923,Reference to sources
ECO.G0.04.1,FTC Approves Rocket Joint Venture,Economics,Final Year Undergraduate,Male,NNS,Russian,Report,1022,Reference to sources
ECO.G0.04.2,Killing Labor with Kindness: The Road to Hell is Paved with Good Intentions,Economics,Final Year Undergraduate,Male,NNS,Russian,Critique,1069,Reference to sources
ECO.G0.06.1,Family Size and Educational Attainment in Costa Rica,Economics,Final Year Undergraduate,Female,NS,,ResearchPaper,4715,"Methodology section, Discussion of results section, Tables, graphs or figures, Reference to sources"
ECO.G0.07.1,U.S. Health Insurance,Economics,Final Year Undergraduate,Female,NS,,Report,1951,Reference to sources
ECO.G0.08.1,Transportation Costs and the Non-Agricultural Sector in 19th Century Brazil,Economics,Final Year Undergraduate,Male,NS,,ResearchPaper,3826,"Literature review section, Discussion of results section, Tables, graphs or figures, Reference to sources"
ECO.G1.01.1,Pooled Signals: The Effect of Competitive Admissions Processes on College Choice,Economics,First Year Graduate,Male,NS,,ResearchPaper,5227,"Abstract, Methodology section, Discussion of results section, Tables, graphs or figures, Reference to sources"
ECO.G1.02.1,Correlation between Straits Times Industrial Index (STI) with Other Key Financial Stock Indexes ,Economics,First Year Graduate,Female,NS,,ResearchPaper,1419,"Abstract, Methodology section, Tables, graphs or figures, Discussion of results section, Reference to sources"
ECO.G1.02.2,Malaysia and 1997 Asian Financial Crisis,Economics,First Year Graduate,Female,NS,,Report,520,Reference to sources
ECO.G1.03.1,What Drives the Relationship between Education and Fertility?,Economics,First Year Graduate,Female,NNS,Chinese,ResearchPaper,5008,"Abstract, Tables, graphs or figures, Discussion of results section, Methodology section, Problem-solution pattern, Literature review section, Reference to sources"
ECO.G2.01.1,Capital Flows and the Role of Institutions,Economics,Second Year Graduate,Female,NNS,"German, Mandarin",ResearchPaper,2052,"Literature review section, Discussion of results section, Tables, graphs or figures, Reference to sources"
ECO.G2.02.1,Evasion Technologies and Optimal Audits,Economics,Second Year Graduate,Male,NS,,Report,1597,"Definitions, Tables, graphs or figures, Methodology section, Literature review section, Reference to sources"
ECO.G2.03.1,Debt and Labor Supply,Economics,Second Year Graduate,Male,NS,,Report,3751,Reference to sources
ECO.G2.04.1,Asymmetric Stock Price Response to Firms' Earnings Announcements,Economics,Second Year Graduate,Male,NNS,Korean,ResearchPaper,4535,"Abstract, Tables, graphs or figures, Methodology section, Definitions, Discussion of results section, Literature review section, Reference to sources"
ECO.G2.05.1,"Outsourcing Clerical Jobs, an Exploratory Analysis",Economics,Second Year Graduate,Female,NS,,ResearchPaper,5244,"Problem-solution pattern, Tables, graphs or figures, Reference to sources"
ECO.G2.06.1,Optimal wage contracting with tax avoidance,Economics,Second Year Graduate,Male,NNS,Russian,Proposal,1609,
ECO.G2.07.1,Shotgun marriages in the US,Economics,Second Year Graduate,Female,NS,,Proposal,782,
ECO.G2.07.2,Myth and Reality of Flat Tax Reform in Russia,Economics,Second Year Graduate,Female,NS,,ResponsePaper,748,
ECO.G2.07.3,Decentralization and water pollution,Economics,Second Year Graduate,Female,NS,,Critique,1018,
ECO.G2.08.1,Referee Report for a Job Market Paper in International Finance,Economics,Second Year Graduate,Male,NNS,Turkish,ResearchPaper,3783,
ECO.G3.01.1,A Model of the Discrepancy between Corporate Income Tax Report and Output Announcements,Economics,Third Year Graduate,Female,NNS,Korean,ResearchPaper,1274,"Abstract, Tables, graphs or figures, Discussion of results section, Methodology section, Problem-solution pattern, Reference to sources"
ECO.G3.02.1,On the Covariance Structure of Changes in Consumption in the Health and Retirement,Economics,Third Year Graduate,Male,NS,,ResearchPaper,3448,"Abstract, Methodology section, Discussion of results section, Tables, graphs or figures, Reference to sources"
EDU.G0.01.1,Learning In Economics,Education,Final Year Undergraduate,Male,NS,,Report,1964,
EDU.G0.02.1,Lesson plan evaluation,Education,Final Year Undergraduate,Female,NS,,ResponsePaper,1500,
EDU.G0.03.1,School Study: Abbott Middle School,Education,Final Year Undergraduate,Female,NS,,Report,1424,Reference to sources
EDU.G0.04.1,Observations from interview with math student,Education,Final Year Undergraduate,Female,NS,,ResponsePaper,935,"Discussion of results section, Reference to sources"
EDU.G0.05.1,5th Grade Science Lesson,Education,Final Year Undergraduate,Female,NS,,Report,1674,
EDU.G0.06.1,Analysis of student discussions (5th grade),Education,Final Year Undergraduate,Female,NS,,Report,708,
EDU.G0.06.2,Learning and Professional Growth,Education,Final Year Undergraduate,Female,NS,,ResponsePaper,1198,
EDU.G0.06.3,"Lesson plan: Pepper, Spoons, and Static Electricity",Education,Final Year Undergraduate,Female,NS,,Proposal,1786,"Problem-solution pattern, Tables, graphs or figures"
EDU.G0.07.1,Personal Reflection of a Learning Difficulty,Education,Final Year Undergraduate,Female,NS,,Report,1950,
EDU.G0.08.1,Jim Colbert Final Paper,Education,Final Year Undergraduate,Female,NS,,Essay,2717,
EDU.G0.09.1,Classroom study: Abbott Middle School,Education,Final Year Undergraduate,Female,NS,,Report,3326,Reference to sources
EDU.G0.10.1,Analysis of 7 UP video,Education,Final Year Undergraduate,Female,NS,,Report,1769,
EDU.G0.11.1,Student development report: Willow Run High School,Education,Final Year Undergraduate,Female,NS,,Report,1625,
EDU.G0.12.1,Abbott Middle School Analysis,Education,Final Year Undergraduate,Male,NS,,Report,1553,
EDU.G0.13.1,Teaching in the Field Reflection,Education,Final Year Undergraduate,Female,NS,,Report,1202,"Tables, graphs or figures"
EDU.G0.14.1,Math methods final reflection,Education,Final Year Undergraduate,Female,NS,,ResponsePaper,588,
EDU.G0.15.1,Classroom study: Latin,Education,Final Year Undergraduate,Female,NNS,Russian,Report,2435,Reference to sources
EDU.G0.16.1,Lesson reflection (class on cloud types),Education,Final Year Undergraduate,Female,NS,,ResponsePaper,643,
EDU.G0.17.1,Reflection on teaching experience from perspective of Educational Psychology,Education,Final Year Undergraduate,Female,NS,,Report,2104,Definitions
EDU.G0.19.1,Strategies for Learning Grammar and Vocabulary,Education,Final Year Undergraduate,Female,NS,,Critique,1923,Reference to sources
EDU.G0.20.1,1st grade teaching report,Education,Final Year Undergraduate,Male,NS,,ResponsePaper,942,
EDU.G1.01.1,"Perspective on Textual Production, Student Collaboration, and Social Networking Sites",Education,First Year Graduate,Male,NS,,Proposal,2301,"Methodology section, Problem-solution pattern, Literature review section, Reference to sources"
EDU.G1.03.1,Access to graduate education among women of color,Education,First Year Graduate,Female,NS,,ResearchPaper,6692,"Tables, graphs or figures, Discussion of results section, Definitions, Problem-solution pattern, Literature review section, Reference to sources"
EDU.G1.04.1,Engaging Commuters in the Teaching and Learning Environment,Education,First Year Graduate,Female,NS,,Report,4382,"Literature review section, Reference to sources"
EDU.G1.05.1,International Student Adjustment ,Education,First Year Graduate,Female,NNS,Korean,ResearchPaper,4956,"Methodology section, Discussion of results section, Literature review section, Reference to sources"
EDU.G1.06.1,Lesson Adaptation Paper for Special Needs Student,Education,First Year Graduate,Female,NS,,Report,2274,
EDU.G1.07.1,"Proficiency, Differentiation, and Universal Education",Education,First Year Graduate,Male,NS,,Critique,2878,Reference to sources
EDU.G1.08.1,Higher education benefits,Education,First Year Graduate,Female,NS,,Report,3239,Reference to sources
EDU.G1.09.1,A Critique of the Spellings Report,Education,First Year Graduate,Female,NS,,Critique,2182,"Problem-solution pattern, Reference to sources"
