rank_eng,count_eng,token
298,75,indeed
299,75,say
300,75,tales
301,74,down
302,74,hand
303,74,hiv
304,74,scene
305,74,wild
306,73,beowulf
307,73,female
308,73,freud
309,73,little
310,73,looking
311,72,comes
312,72,find
313,72,genre
314,72,moral
315,72,voice
316,72,whether
317,71,crusoe
318,71,d
319,71,far
320,71,figure
321,71,kind
322,71,letter
323,71,political
324,71,suggests
325,70,begins
326,70,case
327,70,clear
328,70,experiences
329,70,religious
330,70,set
331,70,takes
332,69,daughter
333,69,day
334,69,great
335,69,last
336,69,real
337,69,stories
338,69,things
339,69,your
340,68,gerty
341,68,tells
342,68,uses
343,67,attempt
344,67,clarissa
345,67,eyes
346,67,having
347,67,martha
348,67,passage
349,66,help
350,66,lines
351,66,long
352,66,old
353,66,private
354,65,almost
355,65,community
356,65,light
357,65,living
358,65,position
359,65,states
360,65,therefore
361,64,connection
362,64,historical
363,64,literacy
364,64,texts
365,63,culture
366,63,less
367,63,view
368,62,context
369,62,describes
370,62,during
371,62,suggest
372,62,think
373,62,under
374,61,akiko
375,61,events
376,61,gives
377,61,presence
378,61,similar
379,61,tell
380,60,already
381,60,grendel
382,60,heart
383,60,molly
384,60,off
385,60,outside
386,60,provide
387,60,theory
388,60,times
389,60,used
390,60,years
391,59,process
392,59,right
393,59,room
394,59,specific
395,59,speech
396,58,attempts
397,58,author
398,58,avedon
399,58,create
400,58,give
401,58,island
402,58,live
403,58,seen
404,58,whose
405,58,word
406,57,attention
407,57,choice
408,57,church
409,57,doing
410,57,every
411,57,faith
412,57,feelings
413,57,finally
414,57,lacan
415,57,narratives
416,57,together
417,57,traumatic
418,57,truth
419,56,century
420,56,mark
421,56,names
422,56,yeats
423,55,chapter
424,55,early
425,55,final
426,55,questions
427,55,since
428,54,allows
429,54,anse
430,54,certainly
431,54,importance
432,54,israel
433,54,least
434,54,meaning
435,54,powerful
436,54,speak
437,54,thought
438,54,want
439,54,white
440,54,woolf
441,53,appears
442,53,behavior
443,53,believe
444,53,especially
445,53,feels
446,53,go
447,53,ideas
448,53,nicholas
449,53,plays
450,53,result
451,53,second
452,52,beginning
453,52,black
454,52,event
455,52,ever
456,52,following
457,52,foxe
458,52,gender
459,52,humans
460,52,level
461,52,lost
462,52,lydgate
463,52,nick
464,52,paul
465,52,truly
466,51,alone
467,51,am
468,51,audience
469,51,close
470,51,dreams
471,51,environment
472,51,left
473,51,levin
474,51,literary
475,51,loss
476,51,night
477,51,possible
478,51,potential
479,51,sees
480,51,specifically
481,51,taken
482,51,term
483,50,books
484,50,face
485,50,knows
486,50,link
487,50,natural
488,50,qualities
489,50,reason
490,50,thoughts
491,50,toward
492,49,above
493,49,change
494,49,completely
495,49,composition
496,49,covenant
497,49,creates
498,49,desires
499,49,england
500,49,fear
501,49,few
502,49,high
503,49,hosea
504,49,image
505,49,longer
506,49,paper
507,49,said
508,49,sex
509,49,show
510,49,shows
511,49,wants
512,49,wilderness
513,48,acts
514,48,among
515,48,beauty
516,48,child
517,48,description
518,48,discourse
519,48,margery
520,48,materials
521,48,nation
522,48,object
523,48,quite
524,48,remains
525,48,universal
526,47,ability
527,47,behind
528,47,beyond
529,47,contemporary
530,47,contrast
531,47,course
532,47,creation
533,47,dream
534,47,forces
535,47,full
536,47,get
537,47,interesting
538,47,jews
539,47,mary
540,47,mental
541,47,movement
542,47,necessary
543,47,painter
544,47,perfect
545,47,put
546,47,told
547,47,various
548,46,allow
549,46,along
550,46,either
551,46,entirely
552,46,next
553,46,offer
554,46,olivia
555,46,pedagogical
556,46,return
557,46,school
558,46,shakespeare
559,46,spenser
560,46,suffering
561,46,york
562,45,argues
563,45,art
564,45,based
565,45,begin
566,45,created
567,45,original
568,45,represents
569,45,schopenhauer
570,45,st
571,45,status
572,45,struggle
573,45,survivor
574,45,war
575,45,written
576,44,economic
577,44,enough
578,44,feel
579,44,feeling
580,44,fully
581,44,individuals
582,44,leave
583,44,money
584,44,notion
585,44,points
586,44,situation
587,44,son
588,44,sort
589,44,unlike
590,44,until
591,43,better
592,43,claims
593,43,evil
594,43,faustus
595,43,free
596,43,going
597,43,harbor
598,43,national
599,43,post
600,43,re
601,43,significant
602,43,sins
603,43,whole
604,43,william
605,42,abbie
606,42,access
607,42,city
608,42,definition
609,42,difference
610,42,discussion
611,42,effect
612,42,finds
613,42,isaac
614,42,nor
615,42,particularly
616,42,roxana
617,42,street
618,42,trying
619,42,turn
620,42,type
621,42,using
622,41,abbey
623,41,call
624,41,clearly
625,41,colonial
626,41,common
627,41,complex
628,41,continues
629,41,done
630,41,existence
631,41,gina
632,41,happiness
633,41,interpretation
634,41,levi
635,41,line
636,41,photographs
637,41,poet
638,41,remain
639,41,strong
640,41,symptoms
641,41,three
642,41,whom
643,41,young
644,40,america
645,40,best
646,40,continuity
647,40,dana
648,40,directly
649,40,easily
650,40,escape
651,40,force
652,40,goes
653,40,jessica
654,40,literature
655,40,media
656,40,offers
657,40,perspective
658,40,section
659,40,side
660,40,value
661,39,animal
662,39,antin
663,39,argument
664,39,christianity
665,39,consider
666,39,difficult
667,39,education
668,39,else
669,39,eventually
670,39,furthermore
671,39,genesis
672,39,ideal
673,39,likely
674,39,matter
675,39,merely
676,39,metaphor
677,39,necessarily
678,39,plot
679,39,road
680,39,sir
681,39,towards
682,39,works
683,38,associated
684,38,boy
685,38,break
686,38,conflict
687,38,deborah
688,38,domestic
689,38,earlier
690,38,exist
691,38,field
692,38,keep
693,38,law
694,38,myth
695,38,note
696,38,plan
697,38,portrait
698,38,protagonist
699,38,representation
700,38,response
701,38,rufus
702,38,similarly
703,38,united
704,38,vision
705,37,according
706,37,anything
707,37,artistic
708,37,country
709,37,critical
710,37,emotional
711,37,g
712,37,genres
713,37,including
714,37,lady
715,37,lead
716,37,obejas
717,37,presents
718,37,pride
719,37,problems
720,37,really
721,37,saying
722,37,setting
723,37,student
724,37,thing
725,37,wealth
726,36,age
727,36,authority
728,36,beautiful
729,36,collective
730,36,elizabeth
731,36,function
732,36,greater
733,36,hermia
734,36,influence
735,36,information
736,36,leaves
737,36,lewisohn
738,36,mr
739,36,practice
740,36,presented
741,36,production
742,36,prose
743,36,serves
744,36,small
745,36,support
746,36,taking
747,36,traditional
748,36,writers
749,35,calls
750,35,claim
751,35,entire
752,35,funding
753,35,general
754,35,happy
755,35,hard
756,35,let
757,35,moments
758,35,move
759,35,naming
760,35,performance
761,35,petry
762,35,places
763,35,several
764,35,signifier
765,35,sphere
766,35,study
767,35,success
768,35,walcott
769,34,addition
770,34,answer
771,34,authors
772,34,ayesha
773,34,brings
774,34,brought
775,34,cass
776,34,defined
777,34,destruction
778,34,explains
779,34,fall
780,34,feminine
781,34,four
782,34,group
783,34,ii
784,34,memories
785,34,programs
786,34,represent
787,34,rest
788,34,sexuality
789,34,sight
790,34,stevens
791,34,successful
792,34,unable
793,34,wealhtheow
794,33,appear
795,33,aware
796,33,complete
797,33,courtship
798,33,cressida
799,33,cúchulainn
800,33,gospel
801,33,introduction
802,33,masculine
803,33,morality
804,33,positioning
805,33,provides
806,33,representations
807,33,roles
808,33,rosamond
809,33,saw
810,33,single
811,33,style
812,33,ulysses
813,33,victim
814,32,apparent
815,32,asks
816,32,due
817,32,empire
818,32,fate
819,32,future
820,32,haggard
821,32,hell
822,32,inability
823,32,include
824,32,issues
825,32,magic
826,32,near
827,32,needs
828,32,notions
829,32,o
830,32,opposite
831,32,poor
832,32,project
833,32,slavery
834,32,someone
835,32,telling
836,32,title
837,32,try
838,32,v
839,32,values
840,32,write
841,31,albon
842,31,ask
843,31,called
844,31,carwin
845,31,conscious
846,31,creating
847,31,described
848,31,direct
849,31,discursive
850,31,equal
851,31,essay
852,31,everyone
853,31,everything
854,31,friends
855,31,health
856,31,immediately
857,31,jew
858,31,joyce
859,31,material
860,31,maud
861,31,model
862,31,picture
863,31,poetry
864,31,ruth
865,31,studies
866,31,symbolic
867,31,wishes
868,30,brother
869,30,cause
870,30,concept
871,30,concerned
872,30,considered
873,30,experienced
874,30,fairy
875,30,features
876,30,figures
877,30,focus
878,30,giving
879,30,humanity
880,30,king
881,30,knew
882,30,myself
883,30,number
884,30,precisely
885,30,represented
886,30,roth
887,30,save
888,30,shall
889,30,snyder
890,30,subjects
891,30,thornhill
892,30,year
893,29,amy
894,29,anne
895,29,autonomy
896,29,began
897,29,blood
898,29,boccaccio
899,29,care
900,29,caridad
901,29,comfort
902,29,continue
903,29,critique
904,29,ends
905,29,evidence
906,29,felt
907,29,follow
908,29,guilt
909,29,larger
910,29,leads
911,29,loki
912,29,married
913,29,message
914,29,moll
915,29,needed
916,29,normative
917,29,pages
918,29,pain
919,29,parallel
920,29,problem
921,29,realm
922,29,rules
923,29,share
924,29,sin
925,29,speaker
926,29,statement
927,29,textual
928,29,th
929,28,abraham
930,28,air
931,28,analysis
932,28,became
933,28,bed
934,28,belief
935,28,boyle
936,28,came
937,28,capital
938,28,coming
939,28,conversation
940,28,creature
941,28,cure
942,28,effects
943,28,expectations
944,28,extent
945,28,eye
946,28,flesh
947,28,hope
948,28,impossible
949,28,instance
950,28,key
951,28,middle
952,28,open
953,28,orsino
954,28,prospero
955,28,psychological
956,28,relation
957,28,reveals
958,28,seemingly
959,28,silence
960,28,somewhat
961,28,speaks
962,28,theme
963,28,theories
964,28,u
965,28,vicar
966,27,accept
967,27,account
968,27,across
969,27,austen
970,27,awareness
971,27,born
972,27,bring
973,27,calling
974,27,central
975,27,concerns
976,27,consequences
977,27,decision
978,27,demonstrates
979,27,describe
980,27,distinction
981,27,duke
982,27,earth
983,27,effective
984,27,elements
985,27,exactly
986,27,examples
987,27,fit
988,27,friday
989,27,hold
990,27,initial
991,27,known
992,27,levy
993,27,lower
994,27,menstruation
995,27,otherwise
996,27,phallus
997,27,plato
998,27,popular
999,27,responsibility
1000,27,risk
1001,27,short
1002,27,site
1003,27,sport
1004,27,surrounding
1005,27,survivors
1006,27,treatment
1007,27,version
1008,27,views
1009,26,actual
1010,26,bodies
1011,26,broad
1012,26,career
1013,26,changed
1014,26,consciousness
1015,26,crucial
1016,26,divine
1017,26,emphasizes
1018,26,experiencing
1019,26,food
1020,26,forced
1021,26,game
1022,26,giles
1023,26,interactions
1024,26,ix
1025,26,laws
1026,26,leading
1027,26,learn
1028,26,legal
1029,26,letters
1030,26,looks
1031,26,mac
1032,26,miller
1033,26,non
1034,26,notes
1035,26,onto
1036,26,opportunity
1037,26,possibility
1038,26,practices
1039,26,previous
1040,26,purpose
1041,26,racial
1042,26,reference
1043,26,relates
1044,26,removed
1045,26,respect
1046,26,rhetorical
1047,26,spaces
1048,26,speaking
1049,26,talk
1050,26,teacher
1051,26,teachers
1052,26,thinking
1053,26,third
1054,26,today
1055,26,viewed
1056,26,waiting
1057,26,worth
1058,26,wrote
1059,26,yezierska
1060,25,apart
1061,25,baldwin
1062,25,concern
1063,25,connections
1064,25,construction
1065,25,content
1066,25,deep
1067,25,demand
1068,25,doesn
1069,25,established
1070,25,ethical
1071,25,hands
1072,25,honor
1073,25,identities
1074,25,inherent
1075,25,isa
1076,25,l
1077,25,large
1078,25,late
1079,25,levinson
1080,25,linked
1081,25,lord
1082,25,lovers
1083,25,mankind
1084,25,manner
1085,25,motley
1086,25,parents
1087,25,photos
1088,25,physically
1089,25,pleasure
1090,25,positions
1091,25,potentially
1092,25,reads
1093,25,realities
1094,25,relief
1095,25,satan
1096,25,sister
1097,25,sleep
1098,25,spring
1099,25,stand
1100,25,system
1101,25,thinks
1102,25,took
1103,25,troilus
1104,25,unique
1105,24,achieve
1106,24,acting
1107,24,classroom
1108,24,commercial
1109,24,constantly
1110,24,consumption
1111,24,die
1112,24,dos
1113,24,draws
1114,24,element
1115,24,emotions
1116,24,explain
1117,24,fantastic
1118,24,forms
1119,24,gain
1120,24,head
1121,24,higher
1122,24,imagination
1123,24,inner
1124,24,intellectual
1125,24,mean
1126,24,members
1127,24,multiple
1128,24,ophelia
1129,24,page
1130,24,passive
1131,24,photo
1132,24,reasons
1133,24,receive
1134,24,related
1135,24,rule
1136,24,sam
1137,24,separation
1138,24,spiritual
1139,24,structural
1140,24,themes
1141,24,thoreau
1142,24,ties
1143,24,ty
1144,24,visions
1145,24,vol
1146,24,whereas
1147,24,witness
1148,24,yhwh
1149,23,absence
1150,23,address
1151,23,agency
1152,23,ancient
1153,23,battle
1154,23,camilo
1155,23,center
1156,23,conventions
1157,23,cuban
1158,23,deeply
1159,23,defining
1160,23,degree
1161,23,european
1162,23,exile
1163,23,explicitly
1164,23,fair
1165,23,former
1166,23,half
1167,23,heritage
1168,23,imagine
1169,23,irish
1170,23,journey
1171,23,largely
1172,23,merchant
1173,23,normal
1174,23,participation
1175,23,pasos
1176,23,patients
1177,23,poe
1178,23,primarily
1179,23,promise
1180,23,proves
1181,23,run
1182,23,seeing
1183,23,simultaneously
1184,23,sometimes
1185,23,structure
1186,23,teaching
1187,23,textbook
1188,23,town
1189,23,tried
1190,23,tries
1191,23,unconscious
1192,23,urban
1193,23,western
1194,23,whatever
1195,22,advice
1196,22,allowed
1197,22,blame
1198,22,characteristics
1199,22,choices
1200,22,christ
1201,22,communities
1202,22,conclusion
1203,22,continued
1204,22,disease
1205,22,easy
1206,22,eat
1207,22,emphasis
1208,22,evident
1209,22,express
1210,22,film
1211,22,freedom
1212,22,generation
1213,22,healing
1214,22,includes
1215,22,interest
1216,22,issue
1217,22,judge
1218,22,kip
1219,22,knight
1220,22,lies
1221,22,marry
1222,22,mention
1223,22,neither
1224,22,nephew
1225,22,novels
1226,22,objects
1227,22,produce
1228,22,protect
1229,22,recognize
1230,22,remember
1231,22,rich
1232,22,soul
1233,22,spirits
1234,22,symbol
1235,22,talking
1236,22,tone
1237,22,tradition
1238,22,violent
1239,22,weak
1240,21,ad
1241,21,additionally
1242,21,anxiety
1243,21,appearance
1244,21,believes
1245,21,birth
1246,21,bmw
1247,21,broken
1248,21,brooks
1249,21,cheyne
1250,21,closely
1251,21,condition
1252,21,constitution
1253,21,crossing
1254,21,descriptions
1255,21,enter
1256,21,epic
1257,21,essentially
1258,21,expresses
1259,21,fight
1260,21,financial
1261,21,gap
1262,21,generic
1263,21,gets
1264,21,helps
1265,21,impact
1266,21,interestingly
1267,21,involved
1268,21,iv
1269,21,logic
1270,21,lover
1271,21,michael
1272,21,morals
1273,21,p
1274,21,perspectives
1275,21,positive
1276,21,privileged
1277,21,prove
1278,21,realizes
1279,21,reflects
1280,21,regarding
1281,21,research
1282,21,roman
1283,21,separate
1284,21,series
1285,21,serve
1286,21,sets
1287,21,simple
1288,21,slave
1289,21,soon
1290,21,spirit
1291,21,stage
1292,21,tension
1293,21,thereby
1294,21,tragic
1295,21,van
1296,21,west
1297,21,wieland
1298,21,working
1299,21,worship
1300,20,active
1301,20,anna
1302,20,asserts
1303,20,assume
1304,20,athletes
1305,20,bad
1306,20,building
1307,20,chance
1308,20,comments
1309,20,conception
1310,20,conditions
1311,20,deal
1312,20,define
1313,20,ending
1314,20,highlights
1315,20,literally
1316,20,lived
1317,20,m
1318,20,maintain
1319,20,marvell
1320,20,opening
1321,20,paradise
1322,20,patterns
1323,20,period
1324,20,piece
1325,20,pilgrims
1326,20,politics
1327,20,prevent
1328,20,proper
1329,20,requires
1330,20,results
1331,20,seemed
1332,20,selfish
1333,20,shylock
1334,20,source
1335,20,step
1336,20,teach
1337,20,ultimate
1338,20,via
1339,20,victims
1340,20,volume
1341,20,wrong
1342,19,acknowledge
1343,19,answers
1344,19,asked
1345,19,beings
1346,19,capitalist
1347,19,caused
1348,19,causes
1349,19,citizenship
1350,19,closer
1351,19,column
1352,19,dark
1353,19,days
1354,19,defines
1355,19,definitions
1356,19,despair
1357,19,dorigen
1358,19,effort
1359,19,emotion
1360,19,emphasize
1361,19,ethnic
1362,19,exists
1363,19,expected
1364,19,falls
1365,19,familiar
1366,19,faulkner
1367,19,friend
1368,19,generally
1369,19,girl
1370,19,hidden
1371,19,intended
1372,19,isolation
1373,19,knowing
1374,19,list
1375,19,ll
1376,19,miracles
1377,19,mode
1378,19,myths
1379,19,native
1380,19,nearly
1381,19,negative
1382,19,obvious
1383,19,opposed
1384,19,possession
1385,19,primrose
1386,19,puts
1387,19,rape
1388,19,realize
1389,19,recognizes
1390,19,refers
1391,19,reflect
1392,19,relations
1393,19,responses
1394,19,shoulders
1395,19,significance
1396,19,song
1397,19,statements
1398,19,stop
1399,19,testimony
1400,19,tragedy
1401,19,viola
1402,19,visual
1403,19,wanted
1404,19,wish
1405,18,achilles
1406,18,aesthetic
1407,18,affair
1408,18,african
1409,18,alice
1410,18,aspects
1411,18,attempting
1412,18,attitudes
1413,18,becoming
1414,18,bigger
1415,18,bond
1416,18,brown
1417,18,caruth
1418,18,cases
1419,18,characterized
1420,18,charles
1421,18,chooses
1422,18,coetzee
1423,18,connected
1424,18,consequently
1425,18,courses
1426,18,darcy
1427,18,daughters
1428,18,david
1429,18,development
1430,18,e
1431,18,enters
1432,18,expressed
1433,18,failed
1434,18,fantasy
1435,18,feldman
1436,18,foreign
1437,18,geoffrey
1438,18,gone
1439,18,happened
1440,18,held
1441,18,holds
1442,18,holocaust
1443,18,immediate
1444,18,immigrant
1445,18,implies
1446,18,independence
1447,18,interested
1448,18,justice
1449,18,keeping
1450,18,leaving
1451,18,loves
1452,18,magistrate
1453,18,matthew
1454,18,moreau
1455,18,ms
1456,18,murder
1457,18,newspaper
1458,18,noble
1459,18,ones
1460,18,opens
1461,18,orlando
1462,18,parts
1463,18,perception
1464,18,psychoanalysis
1465,18,refuses
1466,18,reveal
1467,18,scenes
1468,18,secondary
1469,18,sign
1470,18,societal
1471,18,stay
1472,18,summer
1473,18,supposed
1474,18,swift
1475,18,theoretical
1476,18,trace
1477,18,traces
1478,18,turns
1479,18,voices
1480,18,wakefield
1481,18,wells
1482,18,witnessing
1483,17,appetite
1484,17,approach
1485,17,bear
1486,17,bound
1487,17,capacity
1488,17,capitalism
1489,17,cesario
1490,17,challenge
1491,17,circle
1492,17,color
1493,17,concepts
1494,17,countries
1495,17,cousin
1496,17,creatures
1497,17,danger
1498,17,didn
1499,17,discussed
1500,17,disney
1501,17,distance
1502,17,dramatic
1503,17,east
1504,17,eden
1505,17,editors
1506,17,efforts
1507,17,ellen
1508,17,encounter
1509,17,establish
1510,17,eternal
1511,17,favor
1512,17,focuses
1513,17,follows
1514,17,forth
1515,17,fruit
1516,17,gave
1517,17,genuine
1518,17,guide
1519,17,importantly
1520,17,included
1521,17,incredibly
1522,17,intention
1523,17,job
1524,17,john
1525,17,joy
1526,17,judges
1527,17,kazin
1528,17,limited
1529,17,loved
1530,17,lovelace
1531,17,main
1532,17,major
1533,17,masculinity
1534,17,meant
1535,17,milton
1536,17,none
1537,17,nonetheless
1538,17,occur
1539,17,perpetrator
1540,17,perverse
1541,17,plunkett
1542,17,portrayal
1543,17,preserve
1544,17,prisoners
1545,17,providing
1546,17,psychology
1547,17,punishment
1548,17,quality
1549,17,queen
1550,17,quickly
1551,17,race
1552,17,reaction
1553,17,realized
1554,17,reflected
1555,17,saint
1556,17,satrapi
1557,17,showing
1558,17,slaves
1559,17,statue
1560,17,strength
1561,17,structures
1562,17,suggesting
1563,17,sympathy
1564,17,tool
1565,17,traditions
1566,17,university
1567,17,vegetarian
1568,17,wait
1569,17,wedding
1570,17,writer
1571,16,activity
1572,16,al
1573,16,allowing
1574,16,americans
1575,16,anger
1576,16,appropriate
1577,16,artist
1578,16,aspect
1579,16,barak
1580,16,beliefs
1581,16,blue
1582,16,canterbury
1583,16,casas
1584,16,choose
1585,16,circumstances
1586,16,college
1587,16,committed
1588,16,concludes
1589,16,confront
1590,16,critic
1591,16,current
1592,16,demands
1593,16,dialogue
1594,16,discuss
1595,16,don
1596,16,driven
1597,16,dumble
1598,16,egeus
1599,16,empty
1600,16,evelina
1601,16,explore
1602,16,fails
1603,16,failure
1604,16,fashion
1605,16,fathers
1606,16,femininity
1607,16,fortune
1608,16,front
1609,16,ft
1610,16,fundamental
1611,16,gendered
1612,16,grace
1613,16,groups
1614,16,hamlet
1615,16,hero
1616,16,implications
1617,16,impulse
1618,16,infidelity
1619,16,inmates
1620,16,institutions
1621,16,integration
1622,16,intentions
1623,16,interaction
1624,16,isolated
1625,16,liberty
1626,16,macbeth
1627,16,mamie
1628,16,martyrdom
1629,16,mccaslin
1630,16,meet
1631,16,mere
1632,16,modernity
1633,16,moving
1634,16,mutual
1635,16,named
1636,16,nervous
1637,16,opposition
1638,16,pathogen
1639,16,placing
1640,16,poetic
1641,16,portraits
1642,16,primary
1643,16,published
1644,16,realization
1645,16,recalls
1646,16,relationships
1647,16,religion
1648,16,remarks
1649,16,responsible
1650,16,rise
1651,16,sentence
1652,16,serpent
1653,16,sinful
1654,16,singular
1655,16,six
1656,16,sound
1657,16,strongly
1658,16,struggles
1659,16,surface
1660,16,sustainable
1661,16,theorists
1662,16,thou
1663,16,treadway
1664,16,understood
1665,16,variety
1666,16,willing
1667,16,youth
1668,15,academic
1669,15,acceptance
1670,15,accepted
1671,15,affection
1672,15,alongside
1673,15,ancestor
1674,15,archer
1675,15,argue
1676,15,asking
1677,15,assert
1678,15,aurelius
1679,15,basketball
1680,15,bennet
1681,15,border
1682,15,breaks
1683,15,british
1684,15,car
1685,15,changes
1686,15,classical
1687,15,com
1688,15,company
1689,15,comparison
1690,15,compassion
1691,15,concerning
1692,15,concrete
1693,15,contribute
1694,15,couple
1695,15,criticism
1696,15,cycle
1697,15,dance
1698,15,describing
1699,15,details
1700,15,dis
1701,15,discovery
1702,15,door
1703,15,doyle
1704,15,embrace
1705,15,extreme
1706,15,facts
1707,15,forgotten
1708,15,frederick
1709,15,functions
1710,15,global
1711,15,happen
1712,15,heaven
1713,15,holly
1714,15,humoral
1715,15,identification
1716,15,illustrates
1717,15,imagined
1718,15,imagining
1719,15,inheritance
1720,15,institution
1721,15,introduced
1722,15,introduces
1723,15,israelites
1724,15,james
1725,15,killed
1726,15,labor
1727,15,lay
1728,15,length
1729,15,meanings
1730,15,modernism
1731,15,monologue
1732,15,moves
1733,15,nausica
1734,15,outsider
1735,15,pandemic
1736,15,partner
1737,15,path
1738,15,patient
1739,15,patriarchy
1740,15,playing
1741,15,possesses
1742,15,preservation
1743,15,previously
1744,15,primroses
1745,15,privilege
1746,15,profound
1747,15,prologue
1748,15,ptsd
1749,15,pure
1750,15,quote
1751,15,receives
1752,15,recurring
1753,15,references
1754,15,reflection
1755,15,refusal
1756,15,rendered
1757,15,repeatedly
1758,15,resources
1759,15,resulting
1760,15,retraction
1761,15,ring
1762,15,romantic
1763,15,scope
1764,15,seek
1765,15,shared
1766,15,shelley
1767,15,spinoza
1768,15,stone
1769,15,technology
1770,15,transformation
1771,15,uncle
1772,15,union
1773,15,useful
1774,15,valued
1775,15,visit
1776,15,went
1777,15,willoughby
1778,15,zipes
1779,14,amount
1780,14,analyze
1781,14,article
1782,14,autumn
1783,14,basis
1784,14,bringing
1785,14,build
1786,14,built
1787,14,chose
1788,14,conform
1789,14,consideration
1790,14,constructed
1791,14,curse
1792,14,darkness
1793,14,dead
1794,14,denied
1795,14,devotion
1796,14,diction
1797,14,disciples
1798,14,dominated
1799,14,draw
1800,14,eastern
1801,14,emma
1802,14,entered
1803,14,equality
1804,14,era
1805,14,etc
1806,14,evolution
1807,14,examination
1808,14,exchange
1809,14,faced
1810,14,famous
1811,14,filled
1812,14,finding
1813,14,formulation
1814,14,forward
1815,14,frame
1816,14,galatians
1817,14,gift
1818,14,gods
1819,14,gp
1820,14,ground
1821,14,hair
1822,14,happens
1823,14,hopes
1824,14,ian
1825,14,illness
1826,14,impossibility
1827,14,impression
1828,14,inevitable
1829,14,inside
1830,14,intimate
1831,14,irony
1832,14,killing
1833,14,kingdom
1834,14,led
1835,14,levels
1836,14,lie
1837,14,martyr
1838,14,member
1839,14,mostly
1840,14,mrs
1841,14,narration
1842,14,obedience
